epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0418,1.53889,2.24918,1.36502,0.99138,0.07792,0.43928,0.29358,1.16508,3.01894,1.15996,0.00065812,0.00065812,0.00065812
2,59.2314,1.2272,1.27544,1.17784,0.92137,0.91303,0.96229,0.62158,1.24589,1.25923,1.24362,0.00125921,0.00125921,0.00125921
3,88.1491,1.21608,1.03185,1.15489,0.9121,0.80854,0.92333,0.59571,1.25826,1.46237,1.26707,0.0017943,0.0017943,0.0017943
4,116.971,1.18362,0.89083,1.15329,0.98176,0.95455,0.99079,0.69173,1.04952,0.74478,1.12716,0.001703,0.001703,0.001703
5,145.867,1.16998,0.8005,1.12488,0.99772,0.99351,0.995,0.71006,1.02333,0.6201,1.10721,0.001604,0.001604,0.001604
6,174.791,1.08691,0.70002,1.09061,0.96707,0.95361,0.99051,0.71228,1.0178,0.64966,1.09172,0.001505,0.001505,0.001505
7,203.596,1.04022,0.64717,1.08181,0.99353,0.99716,0.99494,0.73211,0.92034,0.51122,1.08454,0.001406,0.001406,0.001406
8,232.558,1.00678,0.60925,1.05631,0.9954,0.99351,0.995,0.74202,0.94992,0.48604,1.06603,0.001307,0.001307,0.001307
9,261.357,0.97482,0.56804,1.04805,1,0.99999,0.995,0.72409,0.99828,0.47509,1.09612,0.001208,0.001208,0.001208
10,290.153,0.92991,0.54803,1.01655,0.99909,1,0.995,0.77104,0.88632,0.46072,1.03027,0.001109,0.001109,0.001109
11,330.301,0.88822,0.50735,1.01933,0.99355,0.99957,0.99494,0.74948,0.93393,0.4374,1.06973,0.00101,0.00101,0.00101
12,359.031,0.86795,0.46197,1.01134,0.99273,1,0.995,0.77369,0.88371,0.41253,1.02912,0.000911,0.000911,0.000911
13,387.749,0.83679,0.44078,0.99672,0.99734,1,0.995,0.76734,0.88233,0.39545,1.03481,0.000812,0.000812,0.000812
14,416.485,0.81606,0.42183,0.98481,0.99943,1,0.995,0.781,0.83819,0.37759,1.00928,0.000713,0.000713,0.000713
15,445.21,0.7781,0.39279,0.96968,0.99301,0.99351,0.99481,0.78527,0.85986,0.37093,1.00978,0.000614,0.000614,0.000614
16,473.955,0.773,0.38652,0.95985,0.99304,1,0.99435,0.78496,0.83836,0.36088,1.00404,0.000515,0.000515,0.000515
17,502.698,0.74851,0.37512,0.94683,0.99294,0.99351,0.99481,0.80255,0.77981,0.3444,0.98092,0.000416,0.000416,0.000416
18,531.432,0.70369,0.35137,0.936,0.99956,1,0.995,0.80208,0.78132,0.32785,0.98486,0.000317,0.000317,0.000317
19,560.195,0.68369,0.33827,0.92002,0.9996,1,0.995,0.80316,0.75667,0.32818,0.97222,0.000218,0.000218,0.000218
20,588.922,0.65779,0.32415,0.90912,0.99955,1,0.995,0.80984,0.75331,0.31486,0.96958,0.000119,0.000119,0.000119
